dismally [01/'dizməli/]	[01* phtừ]\n- u sầu, rầu rự
disrepair [01/,disri'peə/]	[01* dtừ]\n- tình trạng ọp ẹp, tình trạng hư nát (vì thiếu tu sửa)\n[02= to be in disrepair] ọp ẹp, hư nát
disrepect [01/'disris'pekt/]	[01* dtừ]\n- sự thiếu tôn kính, sự không kính trọng, sự vô lễ
disrepectful [01/,disris'pekful/]	[01* ttừ]\n- thiếu tôn kính, không kính trọng, vô lễ
disreputable [01/dis'repjutəbl/]	[01* ttừ]\n- làm mang tai tiếng, làm ô danh, làm ô nhục; mang tai mang tiếng, có tiếng xấu, nhơ nhuốc, thành tích bất hảo\n[02= disreputable people] những kẻ thành tích bất hảo
disreputableness [01/dis'repjutəblnis/]	[01* dtừ]\n- sự mang tai tiếng, sự làm ô danh, sự làm ô nhục; sự mang tai mang tiếng; tính chất thành tích bất hảo
disreputably [01/dis'repjutəbli/]	[01* phtừ]\n- nhơ nhuốc, ô nhục
disreputation [01/dis,repju:'teiʃn/]	như [03disrepute]
disrepute [01/,disri'pju:t/]	[01* dtừ]\n- sự mang tai mang tiếng; tiếng xấu\n[02= to fall into disrepute] bị mang tai mang tiếng, bị tiếng xấu\n[02= to bring someone into disrepute] làm ai mang tai mang tiếng
disrespect [01/,disris'pekt/]	[01* dtừ]\n- sự thiếu tôn kính, sự bất kính, sự vô lễ
disrespectable [01/'disri'pektəbl/]	như [03impolite]
disrespectableness [01/'disri'pektəblnis/]	[01* dtừ]\n- thái độ vô lễ
disrespectably [01/'disri'pektəbli/]	[01* phtừ]\n- vô lễ
disrespectful [01/,disris'pektful/]	[01* ttừ]\n- thiếu tôn trọng, bất kính
disrespectfully [01/,disris'pektfuli/]	[01* phtừ]\n- vô lễ, bất kính
disrobe [01/dis'roub/]	[01* ngđtừ]\n- cởi áo dài cho, cởi quần dài cho\n- (bóng) lột trần, bóc trần\n- đtừ phãn thân cởi quần áo\n[01* nđtừ]\n- cởi quần áo
disroot [01/dis'ru:t/]	[01* ngđtừ]\n- nhổ rễ\n- trục ra khỏi, đuổi ra khỏi (một vị trí nào) 
disrupt [01/dis'rʌpt/]	[01* ngđtừ]\n- đập gãy, đập vỗ, phá vỡ
disruption [01/dis'rʌp∫n/]	[01* dtừ]\n- sự đập gãy, sự đập vỗ, sự phá vỡ; sự gẫy vỡ\n- tình trạng xâu xé, tình trạng chia rẽ\n- (điện học) sự đánh thủng
disruptive [01/dis'rʌptiv/]	[01* ttừ]\n- đập gãy, đập vỗ, phá vỡ\n- (điện học) đánh thủng\n[02= disruptive discharge] sự phóng điện đánh thủng
dissatisfaction [01/di,sætis'fæk∫n/]	[01* dtừ]\n- sự không bằng lòng, sự không hài lòng, sự không thoả mãn, sự bất mãn
dissatisfactory [01/di,sætis'fæktəri/]	[01* ttừ]\n- không làm bằng lòng, không làm hài lòng, không làm thoả mãn, làm bất mãn
dissatisfied [01/di'sætisfaid/]	[01* ttừ]\n- không bằng lòng, không hài lòng, không thoả mãn, bất mãn\n[02= to be dissatisfied with (at) something] không hài lòng cái gì
dissatisfy [01/di'sætisfai/]	[01* ngđtừ]\n- không làm bằng lòng, không làm hài lòng, không làm thoả mãn, làm bất mãn
dissave [01/di'seiv/]	[01* nđtừ]\n- tiêu xài tiền dành dụm
disseat [01/di'si:t/]	[01* ngđtừ]\n- hất ra khỏi chỗ ngồi, làm ngã
dissect [01/di'sekt/]	[01* ngđtừ]\n- cắt ra từng mảnh, chặt ra từng khúc\n- mổ xẻ, giải phẫu (con vật, thân cây)\n- mổ xẻ, phân tích kỹ, khảo sát tỉ mỉ, phê phán từng li từng tí
dissected [01/di'sektid/]	[01* ttừ]\n- bị cắt ra
dissection [01/di'sek∫n/]	[01* dtừ]\n- sự cắt ra từng mảnh, sự chặt ra từng khúc\n- sự mổ xẻ, sự giải phẫu (con vật, thân cây)\n- sự mổ xẻ, sự phân tích kỹ, sự khảo sát tỉ mỉ, sự phê phán từng li từng tí
dissector [01/di'sektə/]	[01* dtừ]\n- người mổ xe, người giải phẫu
disseise [01/di'si:z/]	như [03disseize]
disseisee [01/,di'si:zi:/]	[01* dtừ]\n- người bị tước đoạt bất hợp pháp quyền làm chủ bất động sản
disseisin [01/di'si:zin/]	[01* dtừ]\n- sự tước đoạt quyền sở hữu, sự chiếm đoạt
disseize [01/di'si:z/]	[01* ngđtừ]\n- (+[04 of]) tước đoạt quyền sở hữu, chiếm đoạt
disseizin [01/di'sizi:n/]	như [03disseisin]
