license [01/'laisəns/]	như [03licence]
lighterman [01/'laitəmæn/]	[01* dtừ]\n- người làm việc trên sà lan
lighter-than-air [01/'laitəđən'eə/]	[01* ttừ]\n- (hàng không) nhẹ hơn không khí (khí cầu...)\n- (thuộc) khí cầu
light-fingered [01/'lait'fiηgəd/]	[01* ttừ]\n- khéo tay, nhanh tay\n- tài ăn cắp, tài xoáy
light-flyweight [01/'lait'flaiweit/]	[01* dtừ]\n- võ sĩ quyền Anh nghiệp dư hạng ruồi
light-footed [01/'lait'futid/]	[01* ttừ]\n- nhanh chân; nhanh nhẹn
light-handed [01/'lait'hændid/]	[01* ttừ]\n- nhanh tay; khéo tay\n- khéo léo (trong cách xử sự)\n- thiếu nhân công
light-head [01/'lait'hed/]	[01* dtừ]\n- người bộp chộp, người nông nổi
light-headed [01/'lait'hedid/]	[01* ttừ]\n- bị mê sảng\n- đầu óc quay cuồng\n- bộp chộp, nông nổi, thiếu suy nghĩ
light-headedly [01/'lait'hedidli/]	[01* phtừ]\n- nông nổi, thiếu suy nghĩ
light-headedness [01/'lait'hedidnis/]	[01* dtừ]\n- sự nông nổi, sự thiếu suy nghĩ
light-hearted [01/'lait'hɑ:tid/]	[01* ttừ]\n- vui vẻ; vô tư lự, thư thái
light-heartedly [01/'lait'hɑ:tidli/]	[01* phtừ]\n- vui vẻ, vô tư lự, thư thái
light-heartedness [01/'lait'hɑ:tidnis/]	[01* dtừ]\n- sự vô tư lự, sự thư thái
light-heavyweight [01/'lait'heviweit/]	[01* dtừ]\n- (quyền Anh) đấu thủ hạng vừa
light-heeled [01/'lait'hi:ld/]	[01* ttừ]\n- nhanh chân
lighthouse [01/'laithaus/]	[01* dtừ]\n- đèn biển, hải đăng
lighting [01/'laitiη/]	[01* dtừ]\n- sự thắp đèn, sự chăng đèn\n- thuật bố trí ánh sáng\n- ánh sáng bố trí ở sân khấu; ánh sảng toả trên tranh
lighting rod [01/'laitniη,rɔd/]	[01* dtừ]\n- xem [03lighting conductor] 
lighting-up time [01/'laitiη'ʌp'taim/]	[01* dtừ]\n- giờ mà tất cả xe cộ lưu thông phải bật đèn
lightish [01/'laiti∫/]	[01* ttừ]\n- nhè nhẹ\n- nhờn nhợt, phơn phớt (màu) 
light-legged [01/'lait'legd/]	như [03light-heeled]
lightly [01/'laitli/]	[01* phtừ]\n- nhẹ, nhẹ nhàng
light-middleweight [01/'lait'midlweit/]	[01* dtừ]\n- võ sĩ quyền Anh nặng từ 67 đến 71 kilogam
light-minded [01/'lait'maindid/]	[01* ttừ]\n- bộp chộp, thiếu suy nghĩ, khinh suất; nhẹ dạ
lightness [01/'laitnis/]	[01* dtừ]\n- tính nhẹ\n- tính nhanh nhẹn\n- tính nhẹ nhàng\n- tính vui vẻ\n- tính khinh suất; tính nhẹ dạ
lightning [01/'laitniη/]	[01* dtừ]\n- chớp, tia chớp\n[02= as quick as lightning; like lightning; with lightning speed] nhanh như chớp, trong nháy mắt\n[02= a lightning strike] cuộc đình công đột ngột (không báo trước)\n[02= lightning war] chiến tranh chớp nhoáng
lightning strike [01/'laitning,straik/]	[01* dtừ]\n- cuộc đình công được tập hợp cấp tốc
lightning-arrester [01/'laitniηə'restə/]	[01* dtừ]\n- (điện học) cái chống sét (trong máy điện, raddiô...) 
lightning-bug [01/'laitniη,bʌg/]	[01* dtừ]\n- con đom đóm
lightning-conductor [01/'laitniηkən'dʌktə/]	như [03lightning-rod]
lightning-like [01/'laitniηlaik/]	[01* ttừ]\n- nhanh như chớp
lightning-rod [01/'laitniη,rɔd/]	[01* dtừ]\n- cột thu lôi
light-of-love [01/,laitə'lʌv/]	[01* dtừ]\n- (cổ) số nhiều [03light-of-loves]\n- gái điếm\n- người phụ nữ không chung thủy; đàn bà đĩ thoã
light-o'-love [01/'laitə'lʌv/]	[01* dtừ]\n- người đàn bà đĩ thoã
lights [01/'laits/]	[01* dtừ s/n]\n- phổi súc vật (cừu, lợn...)(dùng làm thức ăn cho chó, mèo...) 
lights out [01/'laits'aut/]	[01* dtừ]\n- (qsự) hiệu lệnh tắt đèn\n- giờ tắt đèn đi ngủ (nơi ở tập thể) 
lightship [01/'lait∫ip/]	[01* dtừ]\n- thuyền hiệu có đèn (để báo trước cho các tàu bè đi đêm) 
light-skirts [01/'laitskə:ts/]	[01* dtừ s/n]\n- người đàn bà lẳng lơ, người đàn bà đĩ thoã
lightsome [01/'laitsəm/]	[01* ttừ]\n- có dáng nhẹ nhàng; duyên dáng, thanh nhã\n- vui vẻ, tươi cười\n- nhẹ dạ, lông bông
lightsomeness [01/'laitsəmnis/]	[01* dtừ]\n- dáng nhẹ nhàng; sự duyên dáng, tính thanh nhã\n- tính vui vẻ, tính tươi cười\n- tính nhẹ dạ, lông bông
lightweight [01/'laitweit/]	[01* ttừ]\n- <thể> (thuộc) hạng cân nhẹ
light-weight [01/'laitweit/]	[01* dtừ]\n- võ sĩ hạng nhẹ\n- (tục) người tầm thường, người không quan trọng\n[01* ttừ]\n- hạng nhẹ (võ sõ...)\n- nhẹ nhàng, không nặng nề
