blithesomely	- xem [03blithesome] 
blue [01/blu:/]	[01* ttừ]\n- xanh\n[02= dark blue] xanh sẫm\n- mặc quần áo xanh\n- (tục) chán nản, thất vọng\n[02= to feel blue] cảm thấy chán nản\n[02= things look blue] mọi việc có vẻ đáng chán, mọi việc có vẻ đáng buồn\n[02= blue study] sự ưu tư buồn bã, sự suy nghĩ ủ ê\n- hay chữ (đàn bà)\n- tục tĩu (câu chuyện)\n- (chính trị)(thuộc) đảng Tô rõi rệu 1 chĩu phĩu uống say mèm, uống say bí tỉ\n[04! to make (turn) the air blue]\n- chửi tục\n[04! once in a blue moon]\n- xem [03moon]\n[01* dtừ]\n- màu xanh\n[02= to be dressed in blue] mặc quần áo màu xanh\n- phẩm xanh, thuốc xanh\n[02= Paris blue] xanh Pa-ri\n- (the blue) bầu trời\n- (the blue) biển cả\n- vận động viên điền kinh (trường đại học Ôc-phớt và Căm-brít) ; huy hiệu vận động điền kinh (trường đại học Ôc-phớt và Căm-brít)\n[02= the dark blues] những vận động viên điền kinh của trường đại học Ôc-phớt\n[02= the light blues] những vận động viên điền kinh của trường đại học Căm-brít\n- nữ học giả, nữ sĩ ((cũng) [03blue stocking] )\n- (số nhiều) sự buồn chán\n[02= to be in the blues; to have the blues] buồn chán\n[02= to give someone the blues] gây nỗi buồn chán cho ai\n[04! a bolt from the blue]\n- xem [03bolt]\n[04! out of the blue]\n- hoàn toàn bất ngờ\n[01* ngđtừ]\n- làm xanh, nhuộm xanh\n- hồ lơ (quần áo)\n- (lóng) xài phí, phung phí (tiền bạc) 
blue baby [01/'blu:'beibi/]	[01* dtừ]\n- đứa bé có da tái xanh từ lúc mới sinh ra
blue blood [01/'blu:blʌd/]	[01* dtừ]\n- dòng dõi quý phái
blue book [01/'blu:buk/]	- (ktế) Sách xanh\n- Một cái tên quen thuộc cho ấn phẩm của Cục thống kê trung ương bao gồm đăng tải những tài khoản chi tiêu và thu nhập quốc dân hàng năm của Anh.
blue cheese [01/'blu:t∫i:z/]	[01* dtừ]\n- phó mát có sợi mốc xanh
blue coat [01/'blukout/]	[01* dtừ]\n- lính; thủy thủ; cảnh sát
blue devils [01/'blu:'devlz/]	[01* dtừ]\n- (tục) sự chán nản, sự thất vọng
blue disease [01/'blu:di'zi:z/]	[01* dtừ]\n- (y) chứng xanh tím
blue ensign [01/'blu:'ensən/]	[01* dtừ]\n- biểu trưng của các bộ trong chính phủ Anh
blue eye boy [01/'blu:aid'bɔi/]	[01* dtừ]\n- chàng mắt xanh, người yêu quý (dùng cho con trai, đàn ông) 
