strophoid [01/'strɔfɔid/]	[01* dtừ]\n- (toán) strofoid
stutter [01/'stʌtə/]	[01* dtừ]\n- sự nó lắp\n- tật nói lắp\n[01* đtừ]\n- nói lắp
stutterer [01/'stʌtərə/]	như [03stammerer]
stuttering [01/'stʌtəriη/]	[01* ttừ]\n- lắp bắp
stutteringly [01/'stʌtəriηli/]	[01* phtừ]\n- xem [03stutter] 
sty [01/stai/]	[01* dtừ]\n- cái chắp (ở mắt)((cũng) [03stye] )\n- (như) [03pigsty]\n- ổ truỵ lạc\n[01* ngđtừ]\n- nhốt (lợn) vào chuồng\n[01* nđtừ]\n- ở chuồng lợn; ăn ở bẩn thỉu như ở chuồng lợn
stye [01/stai/]	[01* dtừ]\n- cái chắp (ở mắt)((cũng) [03sty] ) 
stygian [01/'stidʒiən/]	[01* ttừ]\n- (thần thoại)(thuộc) sông mê\n- tối tăm, ảm đạm, thê lương
styl [01/'stail/]	- hình thái ghép có nghĩa là cột : stylobate nền đỡ hàng cột\n- hình thái ghép có nghĩa lá gai : styloid dạng gai
stylar [01/'stailə/]	[01* ttừ]\n- (sinh học) thuộc vòi nhụy\n- (sinh học) thuộc gai; lông cứng
style [01/stail/]	[01* dtừ]\n- cột đồng hồ mặt trời\n- (thực vật) vòi nhuỵ\n- văn phong\n- phong cách, cách, lối\n[02= style of playing the piano] cách đánh pianô\n[02= style of work] tác phong làm việc\n[02= style of living] cách ăn ở\n[02= to live in great style] sống đế vượng\n- loại, kiểu, dáng\n[02= in all sizes and styles] đủ các cỡ và các kiểu\n[02= Renaissance style] diểu thời Phục hưng (đồ gỗ)\n- thời trang, mốt\n[02= in the latest style] theo mốt mới nhất\n- danh hiệu, tước hiệu\n[02= I did not recognize him under his new style] tôi không nhận ra anh ta dưới danh hiệu mới\n- lịch\n[02= new style] lịch mới ((vt) N.S.)\n[02= old style] lịch cũ ((vt) O.S.)\n- điều đặc sắc, điểm xuất sắc\n[02= there is no style about her] cô ta trông không có gì xuất sắc\n- bút trâm (để vết trên sáp, ở thời cổ)\n- (thơ ca) bút mực, bút chì\n- (y) kim\n[01* ngđtừ ((thường) dạng bị động)]\n- gọi tên, gọi là\n[02= he is styled orator] anh ta được gọi là nhà hùng biện\n[02= to style oneself doctor] tự xưng là bác sĩ
stylebook [01/'stailbuk/]	[01* dtừ]\n- sách dạy về cách làm theo một phong cách đã chọn
stylet [01/'stailit/]	[01* dtừ]\n- cái giùi\n- (y) cái thông, que thăm
styli-	như [03stylo-]
styliform [01/'stailifɔ:m/]	[01* dtừ]\n- dạng trâm; dạng gai
styling [01/'stailiη/]	[01* dtừ]\n- cách tạo dáng, kiểu của cái gì
stylisation [01/,staili'zei∫n/]	[01* dtừ]\n- sự cách điệu hoá
stylise [01/'stailaiz/]	như [03stylize]
stylised [01/'stailaizid/]	như [03stylized]
stylish [01/'staili∫/]	[01* ttừ]\n- bảnh bao, diện; hợp thời trang\n- (tục) kiểu cách
stylishly [01/'staili∫li/]	[01* phtừ]\n- đặc sắc; hợp thời trang; kiểu cách
stylishness [01/'staili∫nis/]	[01* dtừ]\n- vẻ bảnh bao, vẻ diện; sự hợp thời trang\n- (tục) tính kiểu cách
stylist [01/'stailist/]	[01* dtừ]\n- người viết chú ý về văn phong; người chú trọng văn phong
stylistic [01/stai'listik/]	[01* ttừ]\n- (thuộc) văn phong\n- (thuộc) tu từ
stylistically [01/stai'listikəli/]	[01* phtừ]\n- (thuộc) văn phong; (thuộc) phong cách nghệ thuật; có liên quan đến văn phong, có liên quan đến phong cách nghệ thuật
stylistics [01/stai'listiks/]	[01* dtừ, s/n dùng như số ít]\n- phong cách học\n- tu từ học
stylite [01/'stailait/]	[01* dtừ]\n- (sử học) ẩn sĩ sống ở đỉnh cột
stylization [01/,staili'zei∫n/]	[01* dtừ]\n- sự làm đúng kiểu
stylize [01/'stailaiz/]	[01* ngđtừ]\n- làm đúng kiểu
stylized [01/'stailaizid/]	[01* ttừ]\n- được cách điệu hoá (được làm theo một kiểu ước lệ cố định) 
stylo-	- xem [03styl] 
stylo [01/'stailou/]	[01* dtừ] s/n [03stylos]\n- (tục) cái bút máy ngòi ống
stylobate [01/'stailəbeit/]	[01* dtừ]\n- (kiến trúc) nến đỡ hàng cột
stylograph [01/'stailəgrɑ:f/]	[01* dtừ]\n- cái bút máy ngòi ống
stylographic [01/,stailə'græfik/]	[01* ttừ]\n- (thuộc) bút máy ngòi ống; như bút máy ngòi ống; viết bằng bút máy ngòi ống
styloid [01/'stailɔid/]	[01* ttừ]\n- (phẫu) hình trâm\n[01* dtừ]\n- (phẫu) mỏm trâm
stylolite [01/'stailəlait/]	[01* dtừ]\n- cột đá nhỏ có đường rãnh dọc
stylopodium [01/,stailə'poudiəm/]	[01* dtừ]\n- gốc trụ; cuống; đùi (cây) 
stylus [01/'stailəs/]	như [03stilus]
stymie [01/'staimi/]	[01* dtừ]\n- tình huống trên bãi gôn trong đó quả bóng của đối phương nằm giữa quả bóng của mình và lỗ\n- (tục) sự lúng túng\n[01* ngđtừstymied]\n- đặt (ai, quả bóng của ai, của mình) vào tình huống khó xử\n- (tục) ngăn cản, cản trở\n[01* nđtừ]\n- lúng túng
