data-in	- số liệu vào
dead air [01/'ded eə/]	[01* dtừ]\n- thời gian yên lặng trong buổi chiếu vô tuyến hoặc phát thanh bằng rađiô
dead center	- ngay chính giữa
dead centre [01/'ded'sentə/]	[01* dtừ]\n- (kỹ) điểm chết ((cũng) [03dead-point] )\n- chỗ bế tắt\n[02= to move the conference off dead_centre] đưa hội nghị ra khỏi chỗ bế tắt
dead coil	- (kỹ) cuộn dây chạy không
dead colour [01/'ded,kʌlə/]	[01* dtừ]\n- lớp màu lót (bức hoạ) 
dead duck	- (kng) kế hoạch
dead end [01/'ded'end/]	[01* dtừ]\n- đường cùng, ngõ cụt\n- nước bí, tình trạng bế tắc không lối thoát
dead fence [01/'dedfens/]	[01* dtừ]\n- hàng rào gỗ, hàng rào cây khô (đối lại với hàng rào cây xanh) 
dead ground [01/'ded'graund/]	[01* dtừ]\n- (qsự) khu vực ngoài tầm bắn của pháo
dead halt	- (kỹ) dừng hoàn toàn, dừng chết (máy) 
dead hand	- ảnh hửơng nặng nề, tác động nặng nề
dead heat [01/'ded'hi:t/]	[01* dtừ]\n- (thể thao) tình trạng cùng về đích bằng nhau
dead interval	- (kỹ) khoảng cách, khoảng trống (điện báo) 
dead lift [01/'ded'lift/]	như [03dead pull]
dead load [01/'ded'loud/]	[01* dtừ (kỹ)]\n- khối lượng tích động\n- trọng lượng bản thân\n- tải trọng không đổi
dead man's fingers [01/'dedmænz'fiηgəz/]	[01* dtừ]\n- yếm cua
dead man's handle [01/'dedmænzhændl/]	[01* dtừ]\n- kỹ thuật cần ngắt điện
dead march [01/'ded'mɑ:t∫/]	[01* dtừ]\n- (âm nhạc) khúc đưa đám
dead point	- (kỹ) điểm chết
dead pull [01/'ded'pul/]	[01* dtừ]\n- sự cố gắng vô ích (để nhấc một cái gì nặng không thể nhấc được) 
dead reckoning [01/'ded'rekəniη/]	[01* dtừ]\n- sự xác định vị trí bằng cách dùng la bàn
dead shot [01/'ded'∫ɔt/]	[01* dtừ]\n- tay bắn cừ
dead spot [01/'ded'spɔt/]	[01* dtừ]\n- (rađiô) vùng câm
dead wall [01/'ded'wɔ:l/]	[01* dtừ]\n- (kiến trúc) tường kín
dead-alive [01/'dedə'laiv/]	[01* ttừ]\n- buồn tẻ, không hoạt động, không có sinh khí (nơi chốn, công việc...) 
dead-beat [01/'ded'bi:t/]	[01* ttừ]\n- (tục) mệt lử, mệt rã rời\n- đứng yên (kim nam châm)\n[01* dtừ (Mỹ),(tục)]\n- kẻ lười biếng, kẻ vô công rồi nghề\n- kẻ ăn bám
deaden [01/'dedn/]	[01* ngđtừ]\n- làm giảm, làm dịu, làm nhẹ\n[02= to deaden a blow] làm nhẹ một cú đánh; đỡ đòn\n[02= to deaden one's pain] làm giảm sự đau đớn\n[02= to deaden the noise] làm giảm bớt tiếng ồn ào\n- làm mờ, làm xỉn (kim loại, vàng...)\n- làm hả hơi (rượu...)\n- (+[04 to]) làm u mê; làm cho không có cảm giác gì đối với\n[01* nđtừ]\n- giảm đi (sức mạnh), nhẹ bớt (cú đòn) ; nhỏ đi (tiếng động)\n- hả hơi (rượu)\n- u mê đi (giác quan) 
deadener	- xem [03deaden] 
deadening [01/'dedəniη/]	[01* dtừ]\n- việc làm cho yếu đi\n- sự dập tắt; sự tiêu hủy
dead-eye [01/'dedai/]	[01* dtừ]\n- (hàng hải) khối giữ vòng dây
deadfall [01/'dedfɔ:l/]	[01* dtừ]\n- (Mỹ) cái bẫy
dead-fire [01/'ded,faiə/]	như [03corposant]
