dissemblance [01/di'sembləns/]	[01* dtừ]\n- sự khác nhau\n- sự giả vờ, đạo đức giả
distrribution	- sự phân phối, sự phân bố, làm suy rộng\n- d. of demand (thống kê) sự phân bố nhu cầu\n- d. of eigenvalues (giải tích) sự phân bố các giá trị riêng\n- d. of primes sự phân bố các nguyên tố\n- d. of zero (giải tích) sự phân bố các không điểm\n- age d. (thống kê) sự phân bố theo tuổi\n- arcsime d. phân bố acsin\n- asymptotic(al) d. (xác suất) phân phối tiệm cận; (giải tích) phân phối tiệm cận\n- beta d. phân phối bêta\n- bimodal d. phân phối hai mốt\n- binomial d. phân phối nhị thức\n- bivariate d. phân phối hai chiều\n- censored d. phân phố bị thiếu\n- circular d. phân phối trên đường tròn\n- compound d. phân phối phức hợp\n- compound frequence d. mật độ phân phối trung bình\n- conditional d. (thống kê) phân phối có điều kiện\n- contagious d. phân phối truyền nhiễm (phụ thuộc vào những tham số\n- ngẫu nhiên)\n- discontinuos d. phân phối gián đoạn\n- discrete d. (thống kê) phân phối rời rạc\n- double d. phân phối kép\n- empiric d. phân phối thực nghiệm\n- e quimodal d.s (thống kê) phân phối cùng mốt\n- exponential d. phân phối mũ\n- fiducial d. (thống kê) phân phối tin cậy\n- frequency d. mật độ phân phối; phân phối tần số\n- gamma d. phân phối gama\n- geometric (al) d. (thống kê) phân phối hình học (xác suất là những số hạng của\n- một cấp số nhân)\n- grouped d. (thống kê) phân phối được nhóm, phân phối được chia thành lớp\n- heterogeneous d. (thống kê) phân phối không thuần nhất\n- hypergeometric d. (thống kê) phân phối siêu bội\n- involution d. phân phối đối hợp\n- joint d. tk; (xác suất) phân phối có điều kiện phụ thuộc\n- limiting d. phân phối giới hạn\n- logarithmic d. phân phối lôga\n- logarithmic-series d. (thống kê) phân phối lôga\n- lognormal d. (thống kê) phân phối lôga chuẩn\n- marginal d. (thống kê) phân phối biên duyên\n- mass d. sự phân phối khối lượng\n- molecular d. sự phân phối (vận tốc) phân tử\n- multimodal d. phân phối nhiều mốt\n- multinomial d. (xác suất) phân phối đa thức\n- multivariate d. phân phối nhiều chiều\n- multivariate normal d. phân phối chuẩn nhiều chiều\n- negative binomial d. phân phối nhị thức âm\n- negative multinomial d. (thống kê) phân phối đa thức âm\n- non central d. (thống kê) phân phối không tâm\n- non singular d. tk phân phối không kỳ dị\n- normal d. (thống kê) phân phối chuẩn\n- parent d. (thống kê) phân phối đồng loại\n- potential d. phân phối thế hiệu\n- pressure d. phân phối áp suất\n- random d. xs phân phối đều\n- rectangular d. phân phối chữ nhật\n- sampling d. (thống kê) phân phối mẫu\n- sex d. (thống kê) phân phối theo giới\n- simultaneous d. phân phối đồng thời\n- singular d. phân phối kỳ dị\n- shew d. (thống kê) phân phối lệch\n- stationary d. (thống kê) phân phối dừng\n- surface d. phân phối mặt\n- symmetric(al) d. phân phối đối xứng\n- temperate d., tempered d. hàm suy rộng ôn hoà (phiếu hàm tuyến tình\n- trên không gian các hàm giảm nhanh ở vô cực)\n- triangular d. (thống kê) phân phối tam giác\n- truncated d. (thống kê) phân phối cụt\n- uniform d. (thống kê) phân phối đều
distrust [01/dis'trʌst/]	[01* dtừ]\n- sự không tin, sự không tin cậy, sự nghi ngờ, sự ngờ vực\n[01* ngđtừ]\n- không tin, không tin cậy (ai), hay nghi ngờ, ngờ vực
distrustful [01/dis'trʌstful/]	[01* ttừ]\n- không tin, không tin cậy, hay nghi ngờ, hay ngờ vực
distrustfully [01/dis'trʌstfuli/]	[01* phtừ]\n- hoài nghi, đa nghi
disturb [01/dis'tə:b/]	[01* ngđtừ]\n- làm mất yên tĩnh, làm náo động; quấy rầy, làm bối rối, làm lo âu; làm xáo lộn\n- (lý) làm nhiễu loạn
disturbance [01/dis'tə:bəns/]	[01* dtừ]\n- sự làm mất yên tĩnh, sự làm náo động; sự quấy rầy, sự làm bối rối, sự làm lo âu; sự làm xáo lộn\n- (lý) sự làm nhiễu loạn; sự nhiễu loạn\n[02= magnetic disturbance] sự nhiễu loạn từ\n- (rađiô) âm tạp, quyển khí\n- (pháp lý) sự vi phạn (quyền hưởng dụng) 
disturbancy	- sự nhiễu loạn
disturbed [01/dis'tə:bd/]	[01* ttừ]\n- bối rối, lúng túng
disunion [01/dis'ju:njən/]	[01* dtừ]\n- sự không thống nhất, sự không đoàn kết, sự không nhất trí, sự chia rẽ, sự bất hoà
disunite [01/,disju:'nait/]	[01* ngđtừ]\n- làm cho không thống nhất, làm mất đoàn kết, làm cho không nhất trí, chia rẽ, làm cho bất hoà\n[01* nđtừ]\n- không thống nhất, mất đoàn kết, không nhất trí, chia rẽ, bất hoà
disunity [01/dis'ju:niti/]	[01* dtừ]\n- tình trạng không thống nhất, tình trạng không đoàn kết, tình trạng không nhất trí, tình trạng chia rẽ, tình trạng bất hoà
disuse [01/dis'ju:s/]	[01* dtừ]\n- sự bỏ đi, sự không dùng đến\n[02= to come (fall) into disuse] bị bỏ đi không dùng đến\n[01* ngđtừ]\n- bỏ, không dùng đến
disused [01/dis'ju:zd/]	[01* ttừ]\n- bị vứt bỏ
disvalue [01/dis'veilju:/]	[01* ngđtừ]\n- xem là vô giá trị
disyllabic [01/'disi'læbik/]	như [03dissyllabic]
disyllable [01/di'siləbl/]	như [03dissyllable]
ditch [01/dit∫/]	[01* dtừ]\n- hào, rãnh, mương\n- (the Ditch)(lóng) biển Măng-sơ; biển bắc\n- (lóng) biển\n[04! to die in the last ditch; to fight up to the last ditch]\n- chiến đấu đến cùng
ditcher [01/'dit∫ə/]	[01* ngđtừ]\n- đào hào quanh, đào rãnh quanh\n- tưới tiêu bằng mương; dẫn (nước...) bằng mương\n- lật (xe) xuống hào\n- (Mỹ) làm cho (xe lửa) trật đường ray\n- (lóng) bỏ rơi (ai) trong lúc khó khăn\n- (hàng không),(lóng) bắt phải đổ xuống biển\n[01* nđtừ]\n- đào hào, đào rãnh, đào mương; sửa hào, sửa rãnh, sửa mương\n- lật xuống hào (xe cộ)\n- (Mỹ) trật đường ray (xe lửa)\n- (hàng không),(lóng) buộc phải hạ cánh xuống biển\n[01* dtừ]\n- người đào hào, người đào rãnh, người đào mương; người sửa hào, người sửa rãnh, người sửa mương\n- máy đào hào, máy đào mương
ditching [01/'dit∫iη/]	[01* dtừ]\n- việc đào hào, việc đào mương; việc sửa hào, việc sửa mương\n[02= gedging and ditching] việc làm hàng rào và đào hào
ditch-water [01/'dit∫,wɔ:tə/]	[01* dtừ]\n- nước tù, nước đọng (ở hào)\n[02= as dull as ditch-water] buồn tẻ, phẳng lặng như nước ao tù
ditheism [01/'daiθi:izm/]	[01* dtừ]\n- thuyết hai thân
dither [01/'diđə/]	[01* dtừ]\n- sự run lập cập, sự rùng mình\n[02= to be all of a dither] run lập cập\n- sự lung lay, sự lay động, sự rung rinh\n[01* nđtừ]\n- run lập cập, rùng mình\n- lung lay, lay động, rung rinh
dithering	- (kỹ) rung động cao tần
dithery [01/'diđəri/]	[01* ttừ]\n- (tục) run lập cập
dithyramb [01/'diθiræmb/]	[01* dtừ]\n- thơ tán tụng, thơ đitian\n- bài ca thần rượu
dithyrambic [01/,diθi'ræmbik/]	[01* ttừ]\n- (thuộc) thơ tán tụng, (thuộc) thơ đitian\n- (thuộc) bài ca thần rượu
ditransitive [01/,dai'trænzətiv/]	[01* ttừ]\n- có hai bổ ngữ (bổ ngữ trực tiếp và bổ ngữ gián tiếp) 
dittany [01/'ditəni/]	như [03fraxinella]
ditto [01/'ditou/]	[01* ttừ]\n- như trên; cùng một thứ, cùng một loại\n[02= ditto suit] bộ quần áo cùng một thứ vải, bộ com lê\n[01* dtừ] s/n [03dittos]\n- cái kể trên, cái như trên; cái cùng một thứ, cái cùng loại\n[02= six white shirts and six dittos of various colours] sáu cái áo sơ mi trắng và sáu cái màu khác nhau\n[02= a suit of dittos] bộ quần áo một thứ vải, bộ com lê\n[02= to say ditto to somebody] đồng ý với ai
ditto markes	- dấu ditto (")(dùng trong một bảng liệt kê) 
dittography [01/di'tɔgrəfi/]	[01* dtừ]\n- chữ chép lập lại thừa, câu chép lại thừa (trong bản chép lại) 
dittology [01/di'tɔlədʒi/]	[01* dtừ]\n- việc đọc hai lần một văn bản
ditty [01/'diti/]	[01* dtừ]\n- bài hát ngắn
ditty-bag [01/'ditibæg/]	như [03ditty-box]
