fletch [01/flet∫/]	[01* ngđtừ]\n- xem [03fledge] 
flood-light [01/flood-light/]	[01* dtừ]\n- đèn chiếu, đèn pha ((Mỹ)(cũng) [03flood] )\n[01* nđtừ]\n- rọi đèn pha, chiếu đèn pha
floodlight [01/'flʌdlait/]	[01* dtừ]\n- ngọn đèn lớn có ánh sáng mạnh tạo ra một luồng sáng rộng, dùng để soi sáng các bãi thể thao, sân khấu nhà hát; đèn pha\n[01* ngđtừ, thì quá khứ và động tính từ quá khứ là] [03floodlit] hoặc [03floodlighted]\n- rọi đèn pha, chiếu đèn pha\n[02= the patrol-boat flood-lighted the riverside hamlets] tàu tuần tra rọi đèn pha vào các xóm ven sông
flood-lighting [01/'flʌd,laitiη/]	[01* dtừ]\n- sự rọi đèn pha
flood-lit [01/'flʌdlit/]	[01* dtừ]\n- tràn ngập ánh sáng
flood-mark [01/'flʌdma:k/]	[01* dtừ]\n- dấu ghi nước lụt
floodometer [01/'flʌdə,mitə/]	[01* dtừ]\n- dụng cụ ghi nước lụt
flood-plain [01/'flʌd,plein/]	[01* dtừ]\n- đồng bằng cửa sông do nước lũ tạo thành
flood-plane [01/'flʌd,plein/]	[01* dtừ]\n- mặt nước lũ
flood-tide [01/'flʌd'taid/]	[01* dtừ]\n- nước triều lên
floodwater [01/'flʌd,wɔ:tə/]	[01* dtừ] s/n [02flood waters]\n- nước của trận lũ
floodway [01/'flʌdwei/]	như [03floorway]
floopy [01/'flɔpi/]	[01* ttừ]\n- lạch bạch\n- (bóng) không tự kiềm được, không tự chủ được\n- thất bại
floor [01/flɔ:/]	[01* dtừ]\n- sàn (nhà, cầu...)\n[02= dirt floor] sàn đất\n- tầng (nhà)\n- đáy\n[02= the ocean floor] đáy đại dương\n- phòng họp (quốc hội)\n- quyền phát biểu ý kiến (ở hội nghị)\n[02= to give somebody the floor] để cho ai phát biểu ý kiến\n[02= to take the floor] phát biểu ý kiến\n- giá thấp nhất\n[04! to cross the floor of the House]\n- vào đảng phái khác\n[04! to mop the floor with someone]\n- mop\n[01* ngđtừ]\n- làm sàn, lát sàn\n[02= to floor a room with pine boards] lát sàn bằng ván gỗ thông\n- đánh (ai) ngã, cho (ai) đo ván\n- làm rối trí, làm bối rối\n[02= the question floored him] câu hỏi làm anh ta rối trí không trả lời được\n- bảo (học sinh không thuộc bài) ngồi xuống\n- vượt qua thắng lợi\n[02= to floor the paper] làm được bài thi
floor exerise [01/'flɔ:'eksəsaiz/]	[01* dtừ]\n- thể dục trên sàn không dùng dụng cụ
floor show [01/'flɔ:∫ou/]	[01* dtừ]\n- trò vui diễn ở sàn (trong các tiệm rượu, hộp đêm...) 
floorage [01/'flɔridʒ/]	[01* dtừ]\n- không gian của sàn
floor-board [01/'flɔ:bɔ:d/]	[01* dtừ]\n- ván sàn
floor-cloth [01/'flɔ:klɔθ/]	[01* dtừ]\n- thấm vải sơn (lót sàn nhà)\n- giẻ lau sàn
floorer [01/'flɔ:rə/]	[01* dtừ]\n- cú đấm đo ván\n- tin sửng sốt\n- lý lẽ làm cứng họng\n- bài thi khó; câu hỏi khó
