picador [01/'pikədɔ:(r) /]	như [03bullfighter]
piggy-wiggy [01/'pigi,wigi/]	[01* dtừ]\n- con lợn con\n- đứa bé bẩn thỉu
pigheaded [01/,pig'hedid/]	[01* ttừ]\n- đần độn, ngu như lợn; bướng bỉnh, cứng đầu cứng c
pigheadedly [01/,pig'hedidli/]	[01* phtừ]\n- bướng bỉnh, cứng đầu cứng cổ
pigheadedness [01/,pig'hedidnis/]	[01* dtừ]\n- tính bướng bỉnh, tính cứng đầu cứng cổ; sự ngoan cố, bướng bỉnh
pig-iron [01/'pig,aiən/]	như [03cast iron]
piglet [01/'piglit/]	[01* dtừ]\n- lợn con
pigling [01/'pigliη/]	như [03piglet]
pigment [01/'pigmənt/]	[01* dtừ]\n- chất màu, chất nhuộm\n- (sinh vật) chất sắc, sắc tố (của tế bào) 
pigmental [01/pig'mentl/]	[01* ttừ]\n- (sinh vật)(thuộc) chất sắc, (thuộc) sắc tố (của tế bào) 
pigmentary [01/'pigməntəri/]	như [03pigmental]
pigmentation [01/,pigmen'tei∫n/]	[01* dtừ]\n- màu da (do chất sắc trong tế bào da tạo thành) 
pigmy [01/'pigmi/]	[01* dtừ]\n- người lùn tịt\n- người tầm thường dốt nát, người kém cỏi; vật tầm thường nhỏ bé\n- yêu tinh
pigpen [01/'pigpen/]	như [03pigsty]
pig's wash [01/'pigzwɔ∫/]	[01* dtừ]\n- nước gạo vo, nước rửa bát
pigskin [01/'pigskin/]	[01* dtừ]\n- da lợn\n- (lóng) cái yên ngựa\n- (Mỹ),(tục) quả bóng đá
pigsticker [01/'pig,stikə/]	[01* dtừ]\n- người săn lợn rừng (bằng lao, xà mâu...)\n- người chọc tiết lợn\n- dao găm
pigsticking [01/'pig,stikiη/]	[01* dtừ]\n- sự săn lợn rừng (bằng lao, xà mâu...)\n- sự chọc tiết lợn; nghề chọc tiết lợn
pigsty [01/'pigstai/]	[01* dtừ]\n- chuồng lợn\n- (bóng) nhà bẩn như ổ lợn
pigswill [01/'pigswil/]	[01* dtừ]\n- rau lợn
pigtail [01/'pigteil/]	[01* dtừ]\n- đuôi sam, bím tóc\n- thuốc lá quần thành cuộn dài
pigtailed	- xem [03pigtail] 
pigwash [01/'pigwɔ∫/]	như [03pig's wash]
pike [01/paik/]	[01* dtừ]\n- (động vật) cá chó\n- chỗ chắn để thu thuế đường\n- thuế đường\n- đường cái phải nộp thuế\n[01* dtừ]\n- giáo; mác\n- (tiếng địa phương)\n- cuốc chim\n- mỏm (đồi; (thường) trong tên riêng)\n[01* ngđtừ]\n- đâm bằng giáo mác; giết bằng giáo mác
piked	- xem [03pike] 
pikelet [01/'paiklit/]	[01* dtừ]\n- bánh pơ-ti-panh (một loại bánh ngọt uống với nước trà) 
pikeman [01/'paikmən/]	[01* dtừ]\n- thợ mỏ dùng cuốc chim\n- người gác chỗ chắn thu thuế đường
piker [01/'paikə/]	[01* dtừ]\n- (Mỹ),(tục) tay cờ bạc thận trọng, tay cờ bạc dè dặt
pikestaff [01/'paikstɑ:f/]	[01* dtừ]\n- cán giáo, cán mác\n[04! (as) plain as a pikestaff]\n- xem [03plain] 
pilaf [01/pi'læf/]	như [03paella]
pilaff [01/pi'læf/]	như [03pilau]
pilaster [01/pi'læstə(r) /]	[01* dtừ]\n- (kiến trúc) trụ bổ tường
pilau [01/pi'lau/]	[01* dtừ]\n- cơm gà, cơm thịt\n- cơm rang
pilaw [01/pi'lau/]	như [03pilau]
pilch [01/pilt∫/]	[01* dtừ]\n- tã chéo bằng nỉ (cuốn ngoài tã lót của trẻ em) 
pilchard [01/'pilt∫əd/]	[01* dtừ]\n- (động vật) cá xacđin
pile [01/pail/]	[01* dtừ]\n- cọc, cừ\n- cột nhà sàn\n[01* ngđtừ]\n- đóng cọc, đóng cừ (trên một miếng đất...)\n[01* dtừ]\n- chồng, đống\n[02= a pile of books] một chồng sách\n[02= a pile of sand] một đống cát\n- giàn thiêu xác\n- (tục) của cải chất đống, tài sản\n[02= to make a pile; to make one's pile] hốt của, phất, làm giàu\n- toà nhà đồ sộ, nhà khối đồ sộ\n- (điện học) pin\n- (lý) lò phản ứng\n[02= atomic pile] lò phản ứng nguyên tử\n[02= nuclear pile] lò phản ứng hạt nhân\n[01* ngđtừ]\n- (+[04 up, on]) chất đống, chồng chất, xếp thành chồng, tích luỹ (của cải...)\n- (qsự) dựng (súng) chụm lại với nhau\n[02= to pile arms] dựng súng chụm lại với nhau\n- (+[04 with]) chất đầy, chất chứa, để đầy\n[02= to pile a table with dishes] để đầy đĩa trên bàn\n- (hàng hải) va (tàu) vào đá ngần; làm cho (tàu) mắc cạn\n[04! to pile it on]\n- cường điệu, làm quá đáng\n[04! to pile up (on the ageney)]\n- (tục) làm cho có vẻ đau đớn bi đát hơn\n[01* dtừ]\n- (cổ) mặt trái đồng tiền; mặt sấp đồng tiền\n[02= cross or pile] ngửa hay sấp\n[01* dtừ]\n- lông măng, lông mịn; len cừu\n- tuyết (nhung, thảm, hàng len dệt)\n[01* dtừ]\n- (y) dom\n- (số nhiều) bệnh trĩ
piled	- xem [03pile] 
pile-driver [01/'pail,draivə/]	[01* dtừ]\n- máy đóng cọc
piles [01/pails/]	[01* dtừ]\n- <y> bệnh trự
pile-up [01/'pailʌp/]	[01* dtừ]\n- vụ đâm nhau của xe cộ
pilewort [01/'pailwə:t/]	[01* dtừ]\n- (thực vật) cây bạch khuất
pilfer [01/'pilfə(r) /]	[01* ngđtừ]\n- ăn cắp vặt
pilferage [01/'pifəridʒ/]	như [03petty larceny]
pilferer [01/'pilfərə(r) /]	[01* dtừ]\n- kẻ ăn cắp vặt
pilgrim [01/'pilgrim/]	[01* dtừ]\n- người hành hương\n- người du hành\n- người đang đi khỏi kiếp trầm luân
pilgrimage [01/'pilgrimidʒ/]	[01* dtừ]\n- cuộc hành hương\n[02= to go on a pilgrimage] đi hành hương\n- (bóng) kiếp sống (tựa như một cuộc du hành)\n[01* nđtừ]\n- đi hành hương
piliferous [01/pai'lifərəs/]	[01* ttừ]\n- (thực vật) có lông
pill [01/pil/]	[01* dtừ]\n- viên thuốc\n- (bóng) điều cay đắng, điều tủi nhục, điều sỉ nhục\n[02= a bitter pill] điều cay đắng, điều tủi nhục\n[02= to swallow the pill] ngậm bồ hòn làm ngọt\n- (lóng) ;(đùa) quả bóng đá, quả bóng quần vợt; đạn đại bác\n- (số nhiều) trò chơi bi-a\n- (the pill) thuốc chống thụ thai\n[04! a pill to cure an earthquake]\n- biện pháp nửa vời không đem lại kết quả gì; cho voi uống thuốc gió\n[04! to gild the pill]\n- xem [03gild]\n[01* ngđtừ]\n- bỏ phiếu đen, bỏ phiếu chống lại (để khai trừ ai)\n- đánh bại\n[01* ngđtừ]\n- (cổ) cướp bóc
pillage [01/'pilidʒ/]	[01* dtừ]\n- sự cướp bóc, sự cướp phá\n[01* ngđtừ]\n- cướp bóc, cướp phá
pillager [01/'pilidʒə(r) /]	[01* dtừ]\n- kẻ cướp bóc, kẻ cướp phá
pillar [01/'pilə(r) /]	[01* dtừ]\n- cột, trụ\n- (bóng) cột trụ, rường cột\n[02= one of the pillars of the State] một trong những cột trụ của quốc gia\n- cột (nước, khói...)\n- (ngành mỏ) cột than (chừa lại để chống mái hầm)\n[04! to be driven from pillar to post]\n- bị đẩy từ khó khăn này đến khó khăn khác; bị đẩy từ chỗ này đến chỗ khác mà cũng không đi đến đâu\n[01* ngđtừ]\n- chống, đỡ (bằng cột, trụ) 
pillar-box [01/'pliəbɔks/]	[01* dtừ]\n- cột hòm thư
pillbox [01/'pilbɔks/]	[01* dtừ]\n- hộp dẹt đựng thuốc viên\n-(đùa) cái xe nhỏ, ô tô nhỏ, căn nhà nhỏ\n- (qsự) công sự bê tông ngầm nh
pillion [01/'piliən/]	[01* dtừ]\n- nệm lót sau yên ngựa (để đèo thêm người, thường là đàn bà)\n- yên đèo (đằng sau mô tô, xe đạp...)\n[02= to ride pillion] ngồi đèo ở đằng sau
pilliwinks [01/'piliwiηks/]	[01* dtừ]\n- (sử học) bàn kẹp ngón tay (để tra tấn) 
