tic-tac [01/'tik(') tæk/]	- xem [03ticktack] 
timid [01/'timid/]	[01* ttừ]\n- rụt rè, nhút nhát, bẽn lẽn, e lệ\n[02= timid as a rabbit] nhát như cáy
timidity [01/ti'midəti/]	như [03timidness]
timidly [01/'timidli/]	[01* phtừ]\n- rụt rè, nhút nhát, bẽn lẽn, dễ sợ hãi
timidness [01/'timidnis/]	[01* dtừ]\n- tính rụt rè nhút nhát, tính bẽn lẽn e lệ
timing [01/'taimiη/]	[01* dtừ]\n- sự chọn đúng lúc; sự tính toán thời gian; sự phối hợp thời gian; sự phối hợp thời gian\n- (thể thao) sự bấm giờ\n- (kỹ) sự điều chỉnh
timist [01/'taimist/]	[01* dtừ]\n- người nhạy cảm về nhịp điệu; về thời gian...\n[02= he is a good timist] anh ta rất nhạy cảm về nhịp độ
timoneer [01/,taimə'niə/]	[01* dtừ]\n- người lái tàu; người cầm lái
timorous [01/'timərəs/]	[01* ttừ]\n- sợ sệt, nhút nhát
timorously [01/'timərəsli/]	[01* phtừ]\n- sợ sệt, nhút nhát
timorousness [01/'timərəsnis/]	[01* dtừ]\n- tính sợ sệt, tính nhút nhát
timorsome [01/'timəsəm/]	[01* ttừ]\n- (phương ngữ) xem [03timorous] 
timothy [01/'timəθi/]	[01* dtừ]\n- (thực vật) cỏ đuôi mèo
timpani [01/'timpənai/]	như [03timpano]
timpanist [01/'timpənist/]	[01* dtừ]\n- người đánh trống lục lạc
timpano [01/'timpənou/]	[01* dtừ] s/n [03timpani]\n- (âm nhạc) trống lục lạc
tin [01/tin/]	[01* dtừ]\n- thiếc\n- sắt tây; giấy thiếc\n- hộp thiếc, hộp sắt tây\n[02= a tin of sardine] hộp cá trích\n- (lóng) tiền\n[01* ngđtừ]\n- tráng thiếc\n- đóng hộp\n[02= tinned food] đồ hộp
tin fish [01/'tin'fi∫/]	[01* dtừ]\n- (tục) tàu phóng ngư lôi
tin foil [01/'tin'fɔil/]	[01* dtừ]\n- giấy thiếc, lá thiếc
tin hat [01/'tin'hæt/]	[01* dtừ]\n- (qsự) mũ sắt
tin lizzie [01/'lizi/]	[01* dtừ]\n- (lóng) ô tô loại rẻ tiền ((cũng) [03tin lizzie] ) 
tin-bearing [01/'tin'beəriη/]	[01* ttừ]\n- có chứa thiếc
tin-can [01/'tinkæn/]	[01* dtừ]\n- hộp (cá, thịt...)\n- pháo hạm; tàu săn tàu ngầm
tinctorial [01/tiηk'tɔ:riəl/]	[01* ttừ]\n- (thuộc) thuốc nhuộm\n[02= tinctorial plant] cây cho thuốc nhuộm
tincture [01/'tiηkt∫ə/]	[01* dtừ]\n- sắc nhẹ, màu nhẹ\n- (y) cồn thuốc\n[02= tincture of iodine] cồn iôt\n- (bóng) hương thoảng, vị thoảng, nét thoáng; kiến thức sơ sài\n[02= to have a shallow tincture of history] có kiến thức sơ sài về lịch sử\n[01* ngđtừ]\n- bôi màu; tô màu\n- (bóng) nhuốm màu, làm cho có vẻ
tinder [01/'tində/]	[01* dtừ]\n- bùi nhùi (để nhóm lửa) ; bông bùi nhùi (trong bật lửa) 
tinder-box [01/'tində'bɔks/]	[01* dtừ]\n- hộp bật lửa\n- (bóng) cái dễ bắt lửa; người dễ kích động, người dễ nổi nóng
tindery [01/'tindəri/]	như [03ignitable]
tine [01/tain/]	[01* dtừ]\n- răng (nạng, chĩa)\n- nhánh gạc (hươu, nai) 
tin-fish [01/'tin'fi∫/]	[01* dtừ]\n- thủy lôi; ngư lôi
tinfoil [01/'tin(') fɔil/]	[01* dtừ]\n- giấy thiếc; lá thiếc\n[01* ngđtừ]\n- bọc (bằng) giấy thiếc
ting [01/tiη/]	[01* dtừ]\n- tiếng leng keng\n[01* nđtừ]\n- kêu leng keng
tinge [01/tindʒ/]	[01* dtừ]\n- màu nhẹ\n[02= a tinge of blue] màu xanh nhẹ\n- vẻ, nét thoáng\n[02= a tinge of affectation] vẻ hơi điệu bộ, vẻ hơi màu mè\n[01* ngđtừ]\n- nhuốm màu, pha màu\n- có vẻ, đượm vẻ\n[02= his admiration was tinged with envy] sự khâm phục của nó đượm vẻ ghen tị
tingle [01/tiηgl/]	[01* dtừ]\n- sự ngứa ran, sự ngứa như có kiến bò\n[02= to have a tingle in one's arms] ngứa như có kiến bò ở cánh tay\n- tiếng ù ù (trong tai)\n- sự náo nức, sự rộn lên\n[01* nđtừ]\n- có cảm giác ngứa ran, ngứa như có kiến bò\n- ù lên (tai)\n[02= my ears tingled] tai tôi ù lên\n- bị kích động, bị kích thích, náo nức, rộn lên\n[02= the people tingle with excitement] nhân dân náo nức
tinhorn [01/'tinhɔ:n/]	[01* ttừ]\n- (Mỹ),(lóng) nhãi nhép, bất tài nhưng hay lên mặt ta đây\n[02= a tinhorn dictator] tên độc tài nhãi nhép\n- hào nhoáng rẻ tiền
tininess [01/'taininis/]	[01* dtừ]\n- tính chất nhỏ bé, tính chất nhỏ xíu
tinker [01/'tiηkə/]	[01* dtừ]\n- thợ hàn nồi\n- thợ vụng\n- việc làm dối, việc chắp vá\n[04! to have an hour's tinker at something]\n- để một giờ sửa qua loa (chắp vá, vá víu) cái gì\n[04! not worth a tinker's dam]\n- không đáng một xu\n[01* ngđtừ]\n- hàn thiếc, hàn (nồi)\n- vá dối, sửa dối, sửa qua loa, chắp vá, vá víu\n[01* nđtừ]\n- làm dối\n[02= to tinker away at; to tinker with] làm qua loa, sửa vụng\n[02= to tinker with a literary work] sửa lại một tác phẩm văn học một cách vụng về
tin-kettle [01/'tin'ketl/]	[01* dtừ]\n- ấm thiếc
tinkle [01/'tiηkl/]	[01* dtừ]\n- tiếng leng keng (chuông...)\n[01* ngđtừ]\n- làm cho kêu leng keng, rung leng keng\n[02= to tinkle the bell] rung chuông leng keng\n[01* nđtừ]\n- kêu leng keng\n[02= the glass tinkles] cốc kêu leng keng
tinkler [01/'tiηklə/]	[01* dtừ]\n- người rung (chuông...)\n- (lóng) chuông con
tinkling [01/'tiηkliη/]	[01* dtừ]\n- tiếng leng keng\n- sự ngân vang\n[01* ttừ]\n- kêu leng keng
